R/R0,Temp,Resistivity
1.00,300.00,5.65
1.43,400.00,8.06
1.87,500.00,10.56
2.34,600.00,13.23
2.85,700.00,16.09
3.36,800.00,19.00
3.88,900.00,21.94
4.41,1000.00,24.93
4.95,1100.00,27.94
5.48,1200.00,30.98
6.03,1300.00,34.08
6.58,1400.00,37.19
7.14,1500.00,40.36
7.71,1600.00,43.55
8.28,1700.00,46.78
8.86,1800.00,50.05
9.44,1900.00,53.35
10.03,2000.00,56.67
10.63,2100.00,60.06
11.24,2200.00,63.48
11.84,2300.00,66.91
12.46,2400.00,70.39
13.08,2500.00,73.91
13.72,2600.00,77.49
14.34,2700.00,81.04
14.99,2800.00,84.70
15.63,2900.00,88.33
16.29,3000.00,92.04
16.95,3100.00,95.76
17.62,3200.00,99.54
18.28,3300.00,103.30
18.97,3400.00,107.20
19.66,3500.00,111.10
26.35,3600.00,115.00
